score,links,nums,ranks,des,titles
8.6,https://movie.douban.com/subject/3157605/,100219人评价,231,四百击的反面。,巴黎淘气帮
8.7,https://movie.douban.com/subject/10808442/,105151人评价,232,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,爱在午夜降临前
8.9,https://movie.douban.com/subject/1293764/,53266人评价,233,充满诗意与情怀的史诗作品。 ,与狼共舞
8.6,https://movie.douban.com/subject/1300741/,91018人评价,234,一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。,枪火
8.2,https://movie.douban.com/subject/1862151/,286563人评价,235,中国版《两杆大烟枪》。,疯狂的石头
8.4,https://movie.douban.com/subject/1298653/,122796人评价,236,一个人的独角戏。,荒岛余生
8.7,https://movie.douban.com/subject/1300117/,76785人评价,237,一部能引人思考的科幻励志片。,千钧一发
8.5,https://movie.douban.com/subject/1301171/,109063人评价,238,典型盖·里奇式的英国黑色幽默黑帮片。,偷拐抢骗
8.3,https://movie.douban.com/subject/1299327/,186555人评价,239,弥漫淡淡血腥气的优雅。,夜访吸血鬼
8.5,https://movie.douban.com/subject/3073124/,133094人评价,240,2009媲美《第九区》的又一部科幻神作。,月球
8.8,https://movie.douban.com/subject/6146955/,75758人评价,241,仪式主义的狂欢，偏执狂的完胜。,寿司之神
9.0,https://movie.douban.com/subject/5908478/,50972人评价,242,你要相信，这世上真的有爱存在，不管在什么年纪 ,我爱你
8.7,https://movie.douban.com/subject/1292218/,72414人评价,243,心灵救赎。,中央车站
8.3,https://movie.douban.com/subject/2365260/,209752人评价,244,把爱放在心底，有爱就有希望。,爱在暹罗
8.5,https://movie.douban.com/subject/1293929/,91153人评价,245,这样确切的爱，一生只有一次。,廊桥遗梦
8.4,https://movie.douban.com/subject/1309027/,133052人评价,246,权力不是来自枪和子弹，权力来自谎言。,罪恶之城
8.4,https://movie.douban.com/subject/25807345/,151933人评价,247,小成本大魅力。,彗星来的那一夜
8.5,https://movie.douban.com/subject/1291824/,102077人评价,248,还原真实而残酷的战争。,黑鹰坠落
8.1,https://movie.douban.com/subject/1308817/,303853人评价,249,"Love me, if you dare. ",两小无猜
8.7,https://movie.douban.com/subject/10533913/,200546人评价,250,,头脑特工队
